BEEID,CONDITION,CNUM,CHOICE
1,CONTROL,1,1
1,CONTROL,2,1
1,CONTROL,3,0
1,CONTROL,4,1
1,CONTROL,5,0
1,CONTROL,6,0
1,CONTROL,7,0
1,CONTROL,8,1
1,CONTROL,9,1
1,CONTROL,10,0
1,CONTROL,11,0
1,CONTROL,12,1
1,CONTROL,13,0
1,CONTROL,14,0
1,CONTROL,15,1
1,CONTROL,16,1
1,CONTROL,17,1
1,CONTROL,18,1
1,CONTROL,19,1
1,CONTROL,20,1
1,CONTROL,21,0
1,CONTROL,22,1
1,CONTROL,23,1
1,CONTROL,24,0
1,CONTROL,25,0
1,CONTROL,26,0
1,CONTROL,27,0
1,CONTROL,28,1
1,CONTROL,29,1
1,CONTROL,30,1
1,CONTROL,31,0
1,CONTROL,32,0
1,CONTROL,33,1
1,CONTROL,34,1
1,CONTROL,35,0
1,CONTROL,36,0
1,CONTROL,37,1
1,CONTROL,38,1
1,CONTROL,39,1
1,CONTROL,40,0
1,CONTROL,41,1
1,CONTROL,42,1
1,CONTROL,43,0
1,CONTROL,44,1
1,CONTROL,45,1
1,CONTROL,46,0
1,CONTROL,47,0
1,CONTROL,48,1
1,CONTROL,49,1
1,CONTROL,50,0
1,CONTROL,51,1
1,CONTROL,52,0
1,CONTROL,53,1
1,CONTROL,54,1
1,CONTROL,55,1
1,CONTROL,56,1
1,CONTROL,57,0
1,CONTROL,58,1
1,CONTROL,59,1
1,CONTROL,60,1
2,CONTROL,1,1
2,CONTROL,2,0
2,CONTROL,3,0
2,CONTROL,4,0
2,CONTROL,5,1
2,CONTROL,6,0
2,CONTROL,7,1
2,CONTROL,8,0
2,CONTROL,9,0
2,CONTROL,10,1
2,CONTROL,11,1
2,CONTROL,12,1
2,CONTROL,13,1
2,CONTROL,14,1
2,CONTROL,15,1
2,CONTROL,16,1
2,CONTROL,17,0
2,CONTROL,18,0
2,CONTROL,19,0
2,CONTROL,20,1
2,CONTROL,21,1
2,CONTROL,22,1
2,CONTROL,23,1
2,CONTROL,24,1
2,CONTROL,25,1
2,CONTROL,26,0
2,CONTROL,27,1
2,CONTROL,28,1
2,CONTROL,29,1
2,CONTROL,30,0
2,CONTROL,31,0
2,CONTROL,32,0
2,CONTROL,33,1
2,CONTROL,34,1
2,CONTROL,35,1
2,CONTROL,36,1
2,CONTROL,37,1
2,CONTROL,38,1
2,CONTROL,39,1
2,CONTROL,40,1
2,CONTROL,41,1
2,CONTROL,42,0
2,CONTROL,43,1
2,CONTROL,44,0
2,CONTROL,45,1
2,CONTROL,46,1
2,CONTROL,47,0
2,CONTROL,48,1
2,CONTROL,49,1
2,CONTROL,50,1
2,CONTROL,51,1
2,CONTROL,52,1
2,CONTROL,53,1
2,CONTROL,54,0
2,CONTROL,55,0
2,CONTROL,56,1
2,CONTROL,57,0
2,CONTROL,58,1
2,CONTROL,59,0
2,CONTROL,60,1
3,CONTROL,1,1
3,CONTROL,2,0
3,CONTROL,3,1
3,CONTROL,4,0
3,CONTROL,5,1
